title,user,sentence,score
범죄도시2,user_7035,1편은 쫄리는맛 2편은 시원한맛,10
닥터 스트레인지: 대혼돈의 멀티버스,user_3198,갈수록 유치해지는듯... ,4
범죄도시2,user_5966,약간 뻔한듯 하지만 너무기대하지않으면 재미있는 영화,8
범죄도시2,user_1506,2편 나오기까지 너무 오래기다렸다.  기다린 보람은 있네.,10
구타유발자들,user_4851,"타임킬링용 영화에 절여져서 물까지 떠먹여줘야되는 사람들은 그냥 마블이나보고, 보지마라. 기분만 나빠질 뿐이다.내가 잘났다는게 아니라, 연기나 던지는 메시지만 봐도 평점이 낮을 수 없는 영화인데.. ",10
모비우스,user_8356,주인공이 연기를 너무 잘해요,10
범죄도시2,user_9772,"속편도 재미있기 드문데, 스토리는 더 탄탄해지고 배우분들의 연기도 말모말모! 영화보고 나오면 나도 마동석, 손석구 배우같은 몸이 갖고싶어진다!!!! ",8
범죄도시2,user_8379,무조건 보세요! 와 전편과 대등하게 만든 감독님 각본가 배우분들에게 박수를 보냅니다!! 상쾌통쾌 액션으로 스트레스 확 풀립니다! 강추입니다^^,10
범죄도시2,user_5257,진짜 개 통쾌하다 웃고 즐기느라 2시간가는줄 몰랐음동석이형 클라스는 여전하고 최귀화씨는 더 웃겨짐 ㅋㅋㅋ,10
닥터 스트레인지: 대혼돈의 멀티버스,user_1588,재밋어요 엔딩크레딧은 와 꼭보세요!!,9
범죄도시2,user_9861,콘텐트리가즈아~ 기대한만큼 잼있어요,10
닥터 스트레인지: 대혼돈의 멀티버스,user_5566,완다비전을 보긴했지만 완다가 생각보다 너무 흑화돼서 좀놀랐음 .. 그리고 분명 완다는 다른사람들이 고통받는거를 싫어했고 자기 세계도 포기하기까지 했는데. 카마르타지에서 학살한거랑 일루미나티 학살을 아무렇지 않게하는거보고 읭? 내가알던 완다맞나?? 싶었음. 그외로 영상이랑 배우들연기력은 정말좋았음,8
닥터 스트레인지: 대혼돈의 멀티버스,user_8603,Amazing Sam&amp;#39;s Marvel Again!,10
야차,user_3671,정치적이고 뭐고 다 빼놓고 봐도 그냥 재미가 없는 영화.. 대화 연출 전부 아마추어,2
로스트 시티,user_3782,깔깔웃고 나왔습니다.그냥 아무생각없이 보기 좋은 영화.,8
범죄도시2,user_1822,시간순삭 ~ 넘 재미있어요.,10
닥터 스트레인지: 대혼돈의 멀티버스,user_9670,옛날 마블영화 생각하고 가서 봤는데 즐겁지도않고 지루하기만하고 재미도 그닥이고.... 별로였음....이거 볼바에 차라리 범죄도시2보세요....,1
레이디 버드,user_2080,엄마랑 딸이 죽도록 싸워야 그게 진짜 하이틴을 담은 영화지,7
범죄도시2,user_8986,마블에서 기대했던걸범죄도시에서 봤다,10
바닷마을 다이어리,user_6026,재매들이 다 내스타일이고 다 슈퍼스타들이다 이런 캐스팅은 다시는 없을거야,10
닥터 스트레인지: 대혼돈의 멀티버스,user_1994,그야말로 대혼돈을 묘사한 걸작. 새로운 시대의 새로운 싸움이 바로 여기서 시작된다.,9
닥터 스트레인지: 대혼돈의 멀티버스,user_8359,고구마가 껴있긴하지만  잘풀어냈네요.다양한 닥스의 모습을 볼 수 있어 좋았어요.,10
범죄도시2,user_9613,닥스보다 훨씬 재밌네요,10
범죄도시2,user_2374,믿고 봤습니다ㅎㅎ보통 시즌 영화는 첫 번째꺼가 젤 재밌다는데범죄도시는 2도 재밌어요!근데 좀 잔인해서 놀랐네요ㅋㅋㅋ 그만큼 스릴 있구요. 티켓값이 아깝지 않네요!!,10
범죄도시2,user_1554,마블리의 펀치와 엎어치기에 슈퍼 통쾌,7
범죄도시2,user_3876, 재밌게 잘봤어요~굿굿,10
범죄도시2,user_2034,그런 영화 인지 알긴 알고 봤지만 히어로 영화 보는줄 .. 주인공 버프는 그렇다 치는데 악당 버프는 좀 너무 오버한게 보임 시원 시원 하긴 한데 액션 짜임에선 성룡 영화보다 좀 못한 느낌 악당은 맞아죽든 말든 무기를 놓지 않는데 악당과 맞서는 사람들은 무기 들고 시작하는데 맞설때 무기가 다 어디가는지.. 감상포인트 액션인데 액션 이없어 ost 드렸습니다,8
사이버 지옥: N번방을 무너뜨려라,user_8117,상반기 다큐 중 가장 주목해야 될 작품,10
중경삼림,user_5424,"OST 빼도 별점 10점, OST만 있어도 별점 10점",10
범죄도시2,user_4304,티키타카가 짜여진 각본같고시작부터끝까지 예상되서너무아쉬요,1
범죄도시2,user_8489,2는 재미없다 하는데 정말 재미나게 보았습니다!,10
범죄도시2,user_6860,생각보다 더 재미있고 통쾌했습니다^^중간중간 빵빵터지는 영화 오랜만이네요,10
범죄도시2,user_4518,속편이 이렇게 재밌다니!!!!,10
듄,user_8395,여주보다 이쁜 주인공 엄마....,6
로스트 시티,user_7957,재미있는 난장판을 기대했는데..,6
범죄도시2,user_9594,장르 마동석1탄 보고봐야 더 재미난다,10
범죄도시2,user_4528,보이스식 답답함이 보이지만  나름 오락용으로 볼만함,8
범죄도시2,user_2900,마석도 유니버스 가즈아!,10
범죄도시2,user_2727,완전 잼써 지루하지않고  다시보고싶다,10
동경 이야기,user_7213,누구나 충분히 마음에 와닿을 영화.,8
